state,state_name,geo_id,population,agegroup,pct_pop
MA,Massachusetts,25,132082,Age 80 to 84 years,0.0191363588354873
MA,Massachusetts,25,159852,Age 85 years and older,0.0231597434364283
MI,Michigan,26,572163,Age 0 to 4 years,0.0572396824102646
MI,Michigan,26,586648,Age 5 to 9 years,0.0586887743643278
MI,Michigan,26,619422,Age 10 to 14 years,0.0619675137293584
MI,Michigan,26,653747,Age 15 to 19 years,0.0654014164786315
MI,Michigan,26,694627,Age 20 to 24 years,0.0694910871090841
MI,Michigan,26,694454,Age 25 to 29 years,0.069473780039146
MI,Michigan,26,602197,Age 30 to 34 years,0.0602443098005535
MI,Michigan,26,599690,Age 35 to 39 years,0.0599935073477516
MI,Michigan,26,563499,Age 40 to 44 years,0.0563729283412274
MI,Michigan,26,629912,Age 45 to 49 years,0.063016942420979
MI,Michigan,26,660148,Age 50 to 54 years,0.0660417780663401
MI,Michigan,26,716278,Age 55 to 59 years,0.0716570719138768
MI,Michigan,26,686526,Age 60 to 64 years,0.0686806560479956
MI,Michigan,26,571956,Age 65 to 69 years,0.0572189739508589
MI,Michigan,26,432746,Age 70 to 74 years,0.043292284898381
MI,Michigan,26,302102,Age 75 to 79 years,0.0302225459100042
MI,Michigan,26,195814,Age 80 to 84 years,0.0195894022708276
MI,Michigan,26,213986,Age 85 years and older,0.0214073449003918
MN,Minnesota,27,355291,Age 0 to 4 years,0.0633184220285968
MN,Minnesota,27,360434,Age 5 to 9 years,0.0642349851965157
MN,Minnesota,27,370652,Age 10 to 14 years,0.0660559928670962
MN,Minnesota,27,357809,Age 15 to 19 years,0.0637671690744494
